Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Pueraria_montana_var._lobata,Subspecies,Pueraria lobata,Pueraria_montana,,,,,,,,
Betula_pubescens_var._litwinowii,Subspecies,Betula litwinowii,Betula_pubescens,,,,,,,,
Cistus_clusii,Subspecies,1 subspecies,Cistus_clusii_subsp._multiflorus,,,,,,,,
Cistus_ladanifer,Subspecies,3 subspecies,Cistus_ladanifer_subsp._ladanifer,Cistus_ladanifer_subsp._africanus,Cistus_ladanifer_subsp._sulcatus,,,,,,
Cistus_laurifolius,Subspecies,2 subspecies,Cistus_laurifolius_subsp._laurifolius,Cistus_laurifolius_subsp._atlanticus,,,,,,,
Coccoloba_alnifolia,Unresolved,None,None,,,,,,,,
Fagus_sylvatica,Varietas,1 varieta 2 subspecies,Fagus_sylvatica_var._atropunicea,Fagus_sylvatica_subsp._orientalis,,,,,,,
Helianthemum_apenninum,Subspecies,1 varieta 7 subspecies,Helianthemum_apenninum_subsp._cavanillesianum,,,,,,,,
Helianthemum_bicknellii,Unresolved,None,None,,,,,,,,
Quercus_ilex,Subspecies,1 subspecies,Quercus_ilex_subsp._ilex,,,,,,,,
Quercus_petraea,Subspecies,4 subspecies,Quercus_petraea_subsp._petraea,Quercus_petraea_subsp._iberica,Quercus_petraea_subsp._huguetiana,,,,,,
Quercus_pubescens,Subspecies,1 subspecies,Quercus_pubescens_subsp._pubescens,,,,,,,,
Quercus_robur,Subspecies,3 subspecies,Quercus_robur_subsp._robur,Quercus_robur_subsp._imeretina,Quercus_robur_subsp._pedunculiflora,,,,,,
Tilia_x_europaea,Typo,Tilia europaea,Tilia_Ã—europaea,,,,,,,,
Populus_x_canadensis,Unresolved,Populus canadensis,None,,,,,,,,
Salix_myrsinifolia,Subspecies,1 subspecies,Salix_myrsinifolia_subsp._kolaensis,,,,,,,,
Salix_repens,Subspecies,1 subspecies,Salix_repens_subsp._arenaria,,,,,,,,
Asplenium_ceterach,Unresolved,1 subspecies,None,,,,,,,,
Chaenorhinum_minus,Subspecies,1 subspecies,Chaenorhinum_minus_subsp._minus,,,,,,,,
Diplotaxis_muralis,Unresolved,None,None,,,,,,,,
Draba_verna,Subspecies,1 subspecies,Erophila_verna_subsp._spathulata,,,,,,,,
Kernera_saxatilis,Subspecies,2 subspecies,Kernera_saxatilis_subsp._saxatilis,Kernera_saxatilis_subsp._boissieri,,,,,,,
Lagenocarpus_rigidus_subsp._tenuifolius,Subspecies,Cryptangium tenuifolium,Lagenocarpus_rigidus,,,,,,,,
Pinguicula_vulgaris,Subspecies,1 varieta 5 subspecies,Pinguicula_vulgaris_subsp._vulgaris,Pinguicula_vulgaris_subsp._bicolor,,,,,,,
Reynoutria_x_bohemica,Unresolved,Reynoutria bohemica,None,,,,,,,,
Mummenhoffia_alliacea,Synonym,Thlaspi alliaceum,Thlaspi_alliaceum,,,,,,,,
