Species_name,Symbiotic_type,C-selection,S-selection,R-selection,CSR_categorical_level
Campanula spicata,AM,56.78154078,0,43.21845922,CR
Campanula trachelium,AM,44.06783113,0,55.93216887,CR
Campanula tridentata,AM,12.27507283,60.30190717,27.42302,S/CSR
Canarium littorale,AM,56.91217694,43.08782306,0,CS
Canarium littorale,AM,44.12280912,55.87719088,0,CS
Cannabis sativa,AM,45.26841649,22.714494,32.01708952,CR/CSR
Caraipa densifolia,AM,37.65163557,50.55855361,11.78981082,CS/CSR
Carapa guianensis,AM,67.85087252,32.14912748,0,C/CS
Carduus acanthoides,AM,65.70498341,0,34.29501659,C/CR
Carduus defloratus,AM,75.03432124,0,24.96567876,C/CR
Carlina acaulis,AM,44.44747286,18.86418605,36.68834109,CR/CSR
Carlina vulgaris,AM,58.71910657,0,41.28089343,CR
Carthamus tinctorius,AM,70.1836108,0,29.8163892,C/CR
Carum carvi,AM,31.92582015,29.05938976,39.01479009,CSR
Carum caucasicum,AM,29.87488086,55.35420444,14.7709147,S/CSR
Carum meifolium,AM,22.88140985,40.13362703,36.98496312,SR/CSR
Casearia aculeata,AM,30.454977,48.03191017,21.51311284,S/CSR
Casearia arborea,AM,39.74349276,36.34446828,23.91203896,CS/CSR
Casearia commersoniana,AM,44.19833336,44.5231614,11.27850524,CS/CSR
Casearia guianensis,AM,43.88909983,29.31121819,26.79968198,C/CSR
Casearia javitensis,AM,43.60048659,48.04348517,8.356028232,CS
Casearia sylvestris,AM,30.58714775,50.84664792,18.56620433,S/CSR
Castilla elastica,AM,67.76799779,21.1937569,11.0382453,C/CS
Catabrosella variegata,AM,13.37925009,59.00520821,27.61554169,S/CSR
Catananche caerulea,AM,44.51715983,0,55.48284017,CR
Caulophyllum thalictroides,AM,36.50306446,17.73015222,45.76678332,CR/CSR
Cavanillesia platanifolia,AM,79.19020978,7.655320143,13.15447007,C/CR
Cayaponia granatensis,AM,67.69301893,24.58560067,7.721380407,C/CS
Cecropia insignis,AM,83.33854047,16.66145953,0,C/CS
Cecropia longipes,AM,88.6796945,3.96615407,7.354151427,C
Cecropia obtusifolia,AM,83.13188894,13.08316075,3.784950309,C
Cecropia pachystachya,AM,79.76219784,10.50371832,9.734083838,C
Cedrela odorata,AM,68.64769944,16.81961747,14.53268309,C/CS
Ceiba pentandra,AM,43.767953,47.34165998,8.890387019,CS
Celtis australis,AM,41.04396168,37.98699369,20.96904464,CS/CSR
Celtis iguanaea,AM,40.01668861,19.93333325,40.04997814,CR/CSR
