Species_name,Symbiotic_type,C-selection,S-selection,R-selection
Cirsium acaule,AM,74.29001923,7.385351086,18.32462968
Cirsium alsophilum,AM,82.445625,0,17.554375
Cirsium discolor,AM,57.0699359,42.9300641,0
Cirsium dissectum,AM,55.94271946,0,44.05728054
Cirsium erisithales,AM,80.08184432,0,19.91815568
Cirsium helenioides,AM,70.3847816,0,29.6152184
Cirsium oleraceum,AM,57.33310556,0,42.66689444
Cirsium pannonicum,AM,63.48335977,9.993755108,26.52288512
Cirsium simplex,AM,60.1243873,0,39.8756127
Cirsium tuberosum,AM,84.49739664,5.982307865,9.520295491
Cirsium vulgare,AM,79.04851475,0,20.95148525
Cirsium wheeleri,AM,66.8528847,33.1471153,0
Claytonia perfoliata,AM,21.49109505,0,78.50890495
Claytonia virginica,AM,26.96069452,0,73.03930548
